text_object,containsMention_category,weekday_category
"twt i vote for rm of twt as this year’s biggest crush tdyawards biggestcrush",1,4
"stop i know i would commit tax fraud for him",1,4
"im terrified beyond the capacity for rational thought phasmophobia",0,4
"rt let’s normalize not confusing someone’s free time with their availability",1,4
"rt if joe biden wins next week one thing that has to be examined is local tv ownership sinclair broadcasting is many of the…",1,4
"rt oh lets go back a bit to kakao line era concepts for todays spookycookietober cause just i found a fun one in the arch…",1,4
"yall kill it tonight ill be pissing my wife off yelling all night while she has to get up and de…",1,4
"akechi hate i love akechi + shuake but i wish that the fandom would remember that while it’s h…",1,4
"before we b anything let’s b real with each other",0,4
"rt we need retweets on this we are up on tv with this ad in pa fl and ia through election day let’s make sure everyo…",1,4
"does liam neesons daughter have ""taken"" in her bio? she should really have ""taken"" in her bio ""taken"" bio should",0,4
"all blacks playmaker richie mounga believes a wallabies rookie holds significant threat to new zealand ahead of bl…",0,4
"trump claims hundreds of thousands of ballots are being mailed…",1,4
"rt <u+fc> fastest korean groups mvs to reach m views on youtube<u+fe> twt dynamite — days h y l t — days •…",1,4
"rt we never lose either we win or we learn",1,4
"optimized foreground customer loyalty",0,4
"@donjuanu mine been going ham the past two days i thought it was bc i was mad yesterday but i ain even mad no more",1,4
"just shows how stupid americans are please look at total tax paid then let me know if you paid more…",1,4
"rt these republicans are legit scared of strong powerful women of color i mean they should be but damn",1,4
"you tell `em shitler",1,4
"rt joe rogan had me on his show spotify has now held meetings w employees to debate whether to pull the episode about…",1,4
"rt taehyung’s puppy eyes while sweet night playing <u+fa><u+f><u+>",1,4
"this glorious moment",1,4
"everyone is bailing from rooterteeth",1,4
"rt no question president trump will win re election big question is where is hunter?",1,4
"rt mama’s fan choice awards mamavote treasure",1,4
"rt send him booty pics he prolly sad",1,4
"lies and deception",0,4
"shut",1,4
"rt finally got on a good mature buck in west texas and just a reminder to vote trump",1,4
"rt mama’s fan choice awards mamavote treasure",1,4
"actual @mocowbell…",1,4
"rt mood",1,4
"can’t rush back a hamstring injury he’ll play this year",1,4
"you wont be laughing on election day the end",1,4
"rt jason mamoa really did his thing as khal drogo sexy ass",1,4
"rt bynature bunny in a bunny bed",1,4
"voters said they chose trump in because he was a successful business and they think he would be good for the e…",0,4
"rt @suzino ""song minho reveals sampler clip of tracks for nd full album take sensibility swag"" <u+ca><u+bbfc><u+d><u+cef><u+bc><u+c><u+bc><u+bc><u+bdd><u+ac> minotake <u+bc><u+bdd><u+ac> <u+ca>…",1,4
"oh noyou missed kirby in dreamland q~q",1,4
"rt any finger that retweets this will receive good news this week",1,4
"rt twitter drama is funny when you think about the fact that it’s just a bunch of ppl in their beds on their phone blank fa…",1,4
"rt my year old grandmother has been eagerly waiting to vote for for months thank you dallas county for allowin…",1,4
"rt dis you?",1,4
"little mix por favor",1,4
"this interaction made me so happy i miss shows ",1,4
"the covid island they went to? westworld",0,4
"rt @milkyjeon bts reacted to ysabelles cover omg <u+ff><u+fed><u+ff><u+fed>",1,4
"nothing just cleaning up from din din oomfie",1,4
"rt virginity will never be the basis of a womans worth",1,4
"meeklil @paigessss ask intelligent questions my don<u+fd><u+ffe>",1,4
"i’m vibrant high and my circle lit <u+>",0,4
"rt i’d like to take a moment to wish tucker carlson the best of luck in his quest to find his imaginary documents from a c…",1,4
"rt @harrisonjnr how it final stated vs result using picsart<u+><u+fef> htt…",1,4
"n to the fucking o",1,4
"no i hate fate",1,4
"the party of evangelical christians",1,4
"you are killing me mn snort laughed",1,4
"rt a look at the shirt some of the and players were wearing for warmups",1,4
"rt this album is like one big sex playlist",1,4
"rt halloween ix livestream starting in two mins get in here",1,4
"i genuinely only miss the travel and playing my music but i can do one of those things at home so i get by okay",1,4
"rt @renjaune i feel like a victorian guy seeing an ankle for the first time",1,4
"rt my administration has suspended the entry of refugees from terror compromised nations such as syria somalia and yemen…",1,4
"didn’t you just dye it <u+f>",1,4
"rt catboy?? genshinimpact <u+f><u+e>",1,4
"rt how it started how it’s going",1,4
"rt gonna go ahead and put down as a strong no on tony la russa to the white sox ""this is the dumbest decis…",1,4
"would be supportive of the crazy stocks if tsrys could rally not so much for the sad sack insurers and so forth a…",0,4
"rt exo have only exol’s if we want to make our boys win we must work more harder we have to be more active on retweeting…",1,4
"rt <u+fe> you received a new message<u+>› <u+ed> <u+><u+><u+><u+>felix<u+><u+fa> i love you so much",1,4
"rt over a year ago nba writer tim bontemps was ask to name his top nba players rn and here was his list <u+f><u+f><u+f>",1,4
"i am just so hungry but at least i actually ate smth today lol",0,4
"i can honestly say i cried while i watched this everyone needs to watch and retweet this video",0,4
"in the criminal law act was passed in the uk it made all homosexual behaviour illegal similar laws were put…",0,4
"rt video dropping shortly judge sullivan issues scorched earth order blocking all dejoy mail slowing policies judge sul…",1,4
"you know it and after hrs",1,4
"rt wizkid with burna boy damian marley tems her in the studio for madeinlagos",1,4
"rt i invite you to come and see “superbloom a live concert film” i bought every single one of you a ticket superbloomfilm…",1,4
"children are tiring when they wanna be smart asses i know you don’t wanna be here kiddo please stop making it harder for both of us",0,4
"rt jkupdate <u+fca>""my time” by jungkook spends another day on worldwide itunes song chart at extending its own record as the longe…",1,4
"only version i acknowledge <u+fc>",0,4
"pedohunter isback what the fuck",1,4
"<u+fd><u+fd> girlll tried it",1,4
"heres my latest ""lucy"" video she just got put in a puppy timeout due to having more energy than her daddy but sh…",0,4
"group don’t forget to wear your pink rms roslynmiddleschool roslynschools wearpinkbreastcancerawareness",0,4
"rt throwback to when desmond elliot said ""social media was very instrumental to his victory""",1,4
"wait who submitted this??",0,4
"rt this is a prime example of the ignorance and delusion embedded within trump supporters once they realized she was talki…",1,4
"rt a statement from bruins president cam neely on the passing of travis roy",1,4
"oh not always fancy tho",0,4
"our new ""workplace disruptors"" ebook gives you actionable solutions to protect your organization and adapt to to…",0,4
"rt xander what if wizkid meant th of november when he said <u+f> madeinlagos",1,4
"rt shouritsu ritsu slowly sinks to the floor inspired by this post and ofc i made it gay",1,4
"i hope to get there soon <u+fe>it’s nice to see others actually care about what they say in public <u+ff>",1,4
"rt siskind how it ended “a page document that was later disseminated by close associates of president donald trump appears to be…",1,4
"wait where do u watch kairos with english subtitles",0,4
" minute kuwtk",1,4
"rt im voting for exo for favorite social artist at the amas",1,4
"fake numbers<u+c><u+c><u+c>",0,4
"me scrolling on the tl then notifications from vi and val fighting comes up",0,4
"rt take a look at these charts",1,4
"rt dead body",1,4
"why is this allowed at all in any way",0,4
"a week",0,4
"i’m stuck at power in destiny how can i get higher?",0,4
"hey yyc we have a couple volunteer spaces left if you want to join our crew for a riverbankrestoration planting…",0,4
"<u+de><u+dd><u+da> <u+d><u+d> <u+d><u+dd><u+da> <u+d><u+d><u+dd><u+da><u+d> <u+dc><u+de><u+d><u+dd> <u+d> <u+d><u+de><u+dc> <u+d><u+d><u+de><u+d><u+da> <u+d><u+d> <u+dd><u+da><u+d> <u+db><u+d><u+d><u+da> ""<u+d> <u+dc><u+d><u+da><u+d><u+d> <u+d><u+d><u+db><u+da> <u+d><u+d><u+d> <u+dd><u+d><u+d><u+dc><u+d><u+da><u+d> <u+dc><u+de><u+d><u+dd> <u+de><u+d><u+da> <u+de><u+dd><u+de><u+d><u+d><u+d><u+da>""",0,4
"waynes probably still on paper as a convicted felon can he even vote in louisiana has he ever voted…",1,4
"knight rma that’s probably due to his arrogance",1,4
"rt terrazas trump and biden are tied in texas guys texas can turn blue if we just vote please vote",1,4
"we don’t care go back to zaddy",0,4
"rt sounds like you wanna testify preach",1,4
"wait how does nylander break out after a goal pace season",1,4
"looks like were out of luck kiddo",0,4
"rt if you had to choose an old picture of you as an album cover what would you pick?",1,4
"this is so kind thank you so much <u+f><u+fd><u+f>",1,4
"rt we love you louis",1,4
"rt best boy",1,4
"rt monbebe we have limited amount of our new cd for you for pre order on our official us store this is the only place…",1,4
"giveaway behind the mask mamavote twice",1,4
"rt the hunter biden “dossier” disseminated by trump’s close associates appears to be from a fake “intelligence firm” called typ…",1,4
"rt vote in person they are trying to find ways to deny your vote dont let them",1,4
"with each of these arrogant ""well decide if your vote is going to count"" decisions courts make fed court expansio…",0,4
"rt soooo cuteeeeeeee <u+fd>",1,4
"rt its time madeinlagos has arrived listen to s brand new album packed with features from …",1,4
"yeah i know its so sad…",1,4
"rt day only tweet is allowed each day per account but retweets are unlimited so can i get m retweets? mama’s fan cho…",1,4
"rt its almost unbelievable this has to be said but a president will not go silent when putin puts a bounty on o…",1,4
"instagram?",1,4
