text_object,containsMention_category,weekday_category
"rt izone’s japanese studio album “twelve” tops oricon’s weekly album chart",1,2
"dont make them work hours a day housekeepers",0,2
"rt we need michigan we need our america back",1,2
"rt why hello there little godling <u+f> hadesgame",1,2
"tysm for the opportunity i have alreads done the rules <u+fa><u+fd>",1,2
"update thank you rose the other woman named jo ann georgea …",1,2
"ilysm good luck out there haha &lt",1,2
"khrix a ver con screen shot o fake <u+f><u+fef><u+f><u+fef>",1,2
"rt working days straight just to be free for hours doesn’t sit right in my spirit",1,2
"rt am following you back now hurry up<u+f>",1,2
"rt if ur not mad ur not paying attention",1,2
"couldn’t agree more",0,2
"until you match these zips baby i ain’t buyin ya shit<u+f><u+ffe><u+d><u+><u+fef>",0,2
"rt the <u+fb><u+fb>""black people cant marry white people""<u+fb><u+fb> is whats destroying me about the video",1,2
" kayla you deserve it stop being nervous it’s been so long in the making we’ve been waiting for this",1,2
"was wondering why i get no likes on my tweets anymore then realized that like half my mutuals are nctzens",0,2
"geniaaaaal",0,2
"are they doing a verzuz? if so when?",1,2
"rt tobts thank you for reminding us everyday to find what we love to do your smiles are our smiles your tears are o…",1,2
"rt minutes of pure gold from sacha baron cohen “voltaire was right “those who can make you believe absurdities — can make…",1,2
"rhys it was in the original canon",1,2
" tomlinson request tomlinson fridaylivestream",1,2
"u r also dramatic we r the same <u+>",1,2
"how are the piglins wearing pumpkins and elitra wtf",0,2
"members handsome maknaes <u+>",1,2
"imagine how i feel been a fan since ",1,2
"aespaverse omg",0,2
"huff as have often said lot of the scotus docket pretty dry annually",1,2
"idk texas or some shit maybe arkansas",0,2
"always success for your program",1,2
"new karlson or maybe im trying to learn how to make vr games but these stupid karlson vibes keep interrupting me gang",1,2
"rt self love is the best love there is",1,2
"rt this generation is so fake rich ima wear what i wanna wear",1,2
"rt when eradication didnt materialize and measles attacked fully vaccinated populations merck said that herd immunity required…",1,2
"idgi",0,2
"rt aapac may be willing to pay people who are missing work although we certainly prefer volunteers we may also be setting u…",1,2
"watching ppls videos from the loona fansign",0,2
"@hussymuhaiz read it again",1,2
"rt trumplostourjobs pass it on",1,2
"no them being blocked i’d never block you love",1,2
"rt i can’t believe i live in a country where very soon in my daughter will not have the right to chose with her own bo…",1,2
"im here for these type of concepts omggggggg",0,2
"rt herball i know you need money",1,2
"oh stewie believe it baby your president is a pervert no photoshopped ne…",1,2
"where did the saying “straight from the horse’s mouth” come from? if i had to think of a creature least likely to t…",0,2
"rt it’s completely bonkers that we’re doing this when most brits don’t want to",1,2
"rt [preview] chanyeol minimal warm ost for webtoon drama ‘shes my type to be released on november st chanyeol <u+ccc><u+cf>…",1,2
"our pfps for ruel’s bday<u+ff><u+ffc><u+ff><u+ffc><u+ff><u+ffc>",1,2
"rt kyle korver spoke about what was going on in the bucks locker room before they decided not to play game against the magic…",1,2
"is it too early to start lobbying for her impeachment? asking for give or take million friends",0,2
"rt also worth highlighting from the correctional investigators latest report this graph showing the % of people in feder…",1,2
"yes it’s a hellhole in nz being forced to stay in star hotels and go to sports games and crowded bars",1,2
"rt i cannot believe were going to be getting an anime version of this????????",1,2
"rt hanteo | update seventeen semicolon copies total [th day] seventeen <u+c><u+be><u+df> homerun semic…",1,2
"many prayers and love to you your sweet girl and entire family <u+f><u+ff><u+ffc>",1,2
"rt there’s a lot of misinformation out there about voting get the facts from at",1,2
"i’m wearing red on election day",1,2
"meet meshtrim the product that will save you both time and money metalforming savemoney",0,2
"rt the environment is on the ballot",1,2
"rt g ku lonely nyan kwa ""know your worth"" <u+f>",1,2
"you’s are on fire the night <u+f>",1,2
"he is very good looking",0,2
"and does he actually have more hits than drake<u+f> because i’m a need to see something that supports that claim cuz idkkkkk<u+f>",1,2
"rt important new episode live for everyone crawled out of the depths of campaigning to record this episode…",1,2
"bringing budlightcelly back to chiefs kingdom chiefscelly",0,2
"its a lot on my plate but i never complain",0,2
"eritrocito chan ig dreamdraws cellsatwork anime fanart hatarakusaibo digital illustration red",0,2
"rt the uk isn’t racist a thread",1,2
"haha thats one way to do it",1,2
"rt are you allowed to take a shirtless selfie in the voting booth",1,2
"rt without her this wouldnt exist",1,2
"rt this weekend and i loved seeing so many arizonans in phoenix and mesa who are ready to elect a senator f…",1,2
"rt my soul left my body",1,2
"im pretty much everything i hated about people a few years ago",0,2
"what’s on top of the bottle ?",1,2
"neca turtles are back up for preorder at bbts expected q leo …",0,2
"lol now tht i think the bitch ain’t got no ass",0,2
"like no???? thats???? not okay????",0,2
"og ah boss na you o i just dey observe<u+fd>",1,2
"rt outhouse its almost that time of the year <u+f>",1,2
"your voice sound so cute",1,2
"rt democrats should vote right fucking now so that the only people at the polls for maga to threaten on nov …",1,2
"rt woke up ready to grill and cheat on my wife",1,2
"rt @xmyuxxx rt dem imgxonlybts",1,2
"rt watch out hyunjin prince hyunjin",1,2
"doin it big for the o",1,2
"theyre incapableand think theyre inculpable",1,2
"i was born r e a d y <u+f>",0,2
"rt baeby walaahi say me if be my paddy or bestfriend i just go love take pictures with her or she go send me pics p th…",1,2
"the moment i feel like i’m being a bother or like i gotta double text or beg for your time i’m quick to",0,2
"every time a police officer shoots someone nowthey use autism etc i find it offensive as a parent of an autis…",0,2
"rt trump supporters outside biden event in georgia chanting “where’s hunter”",1,2
"totally understood go lee min ho pachinko go go go big supporter from quito ecuador take…",1,2
"rt retweet you’ll be surprise later",1,2
"rt it’s on a superbad reunion and watch party to benefit in the homestretch rsvp and join us on tuesday oct sup…",1,2
"wasn’t nervous all day now i am let’s get it latogether",0,2
"rt fake news media like the corrupt fox news is riding trump trump trump all the way to the election losers",1,2
"interested in womens health weight loss fitness beauty and well being? take a l@ at my new website power and…",1,2
"rt twts good things always come at the right time i voted bts for favorite social artist at the amas twt",1,2
"rt the numbers of tweets that have gone viral that suggest that you can somehow vote away systemic police violence the wa…",1,2
"truth sana all like you <u+f>",1,2
"eli says they love you and is really glad they can date you too",1,2
"he’s so precious <u+fd>",1,2
